,wcss
0,3124.9699167982644
1,2752.2410505513517
2,2504.137948169467
3,2382.6560109111
4,2293.454029720434
5,2230.9312447790358
6,2131.6313538637974
7,2079.159731456288
8,2053.9550557659277
9,2012.5965999199561
10,1973.216969695362
11,1930.8152622476455
12,1921.4710650908141
13,1879.4682991089592
14,1833.761032171668
15,1830.015711362895
16,1796.3756791808664
17,1799.7624576679777
18,1800.0061898826477
19,1772.6087240807108
20,1760.337948364196
21,1743.7809706202427
22,1718.3272364005259
23,1704.8108799832753
24,1696.143913039721
25,1690.0389884213512
26,1680.7330105904684
27,1643.3101430106037
28,1637.5669393670714
29,1635.7599913674433
30,1639.4844759687708
31,1612.2561512394761
32,1592.5597383630038
33,1594.9671659237486
34,1587.0282757188722
35,1578.824258666354
36,1564.0966322365637
37,1554.0682381779825
38,1554.3113517603722
39,1530.5262176886856
40,1518.3842726609028
41,1516.6947642756445
42,1503.4946021735727
43,1490.9995698881426
44,1497.801961760712
45,1487.7182275006583
46,1468.9804022600135
47,1486.5981865115432
48,1457.3441902587565
